#Name:           Based On:        Params:
+crane_exp       +xtank4_exp      damage=50.000000 force=75.000000 range=0.500000 debris=shrapnel_1 debris=shrapnel_2 debris=shrapnel_3 debris=shrapnel_5 
+sentry_exp      +grenade_exp     damage=5.000000 force=50.000000 
+crate_exp       +sentry_exp      damage=30.000000 force=75.000000 range=0.200000 
+dhealthpack     _droppowerup     thingflags=0x408 model3d=hepk.3do cog=pow_health.cog height=0.023701 
+dbactatank      _droppowerup     thingflags=0x400 model3d=bact.3do cog=pow_bacta.cog height=0.028885 
+dshield         _droppowerup     thingflags=0x400 model3d=shld.3do cog=pow_shields.cog height=0.021618 
+dbattery        _droppowerup     thingflags=0x408 model3d=battery.3do cog=pow_battery.cog height=0.022909 
+denergycell     _droppowerup     thingflags=0x400 model3d=ecel.3do cog=pow_energy.cog height=0.022435 
+dpowercell      _droppowerup     thingflags=0x400 model3d=pcel.3do cog=pow_power.cog height=0.017868 
+dsmbp           _droppowerup     thingflags=0x400 model3d=bpck.3do cog=pow_smbkpk.cog height=0.036337 
+rycw_punch      +ry_punch        damage=5.000000 
reeyeescw        reeyeesfist      weapon=+rycw_punch typeflags=0x1020001 
+gonk_exp        +grenade_exp     damage=20.000000 
+dgreedopistol   _droppowerup     thingflags=0x400 model3d=ggun.3do cog=pow_bryar.cog height=0.011450 
+scrate_exp      +crate_exp       damage=10.000000 force=25.000000 range=0.100000 
+r2r5_exp        +grenade_exp     damage=10.000000 force=50.000000 
+sparks          none             orient=(0.000000/0.000000/0.000000) type=particle move=physics timer=1.000000 mass=1.000000 physflags=0x201 typeflags=0x3d material=embers.mat range=0.030000 rate=32.000000 maxthrust=20.000000 elementsize=0.010000 count=32 
+limb_blood      none             orient=(0.000000/0.000000/0.000000) type=particle move=physics timer=0.250000 physflags=0x201 vel=(0.000000/0.000000/0.200000) typeflags=0x27 material=00gsmoke.mat range=0.020000 rate=48.000000 maxthrust=3.000000 elementsize=0.005000 count=16 
end
